post_id,account,days_since_last_post,days_since_first_post,post_number,posts_per_week,engagement_trend_7d,engagement_std_7d,posting_consistency,avg_gap_between_posts,is_after_pause,is_morning,is_afternoon,is_evening
3434132787962369295,faperta.unja.official,0.0009722222222222222,168.99202546296297,267,11.018334783365354,92.6875,54.14021148831984,1.6206573955941859,0.6377020877009084,0,0,0,0
3434133366336300418,faperta.unja.official,0.0007060185185185185,168.99273148148148,268,11.05969346707202,90.29411764705883,53.34178088736159,1.6180677094256735,0.6353083664021163,0,0,0,0
3434133873465048770,faperta.unja.official,0.000787037037037037,168.99351851851853,269,11.101069161696907,86.27777777777777,54.48238307342546,1.6154902612326805,0.6329315785823276,0,0,0,0
3434134297345810086,faperta.unja.official,0.0004976851851851852,168.9940162037037,270,11.142439168716749,86.47368421052632,52.954244841973015,1.6129244524338475,0.6305728302929795,0,0,0,0
3434135437508826816,faperta.unja.official,0.001574074074074074,168.99559027777778,271,11.183827939338473,83.65,53.06626939373467,1.6103707405531464,0.6282305435081922,0,0,0,0
3434150704515121998,faperta.unja.official,0.02105324074074074,169.01664351851852,272,11.22514496906046,82.0952380952381,52.21101872392911,1.6078270623546769,0.6259095936213991,0,0,0,0
3434150704515121998,faperta.unja.official,0.02105324074074074,169.01664351851852,272,11.22514496906046,82.0952380952381,52.21101872392911,1.6078270623546769,0.6259095936213991,0,0,0,0
3434150704515121998,faperta.unja.official,0.02105324074074074,169.01664351851852,272,11.22514496906046,82.0952380952381,52.21101872392911,1.6078270623546769,0.6259095936213991,0,0,0,0
3436316748361061349,faperta.unja.official,2.9885763888888888,172.0052199074074,275,11.347994848743117,70.46153846153847,53.8789002990586,1.6002421284798056,0.6191085843169176,0,0,0,0
3437246983231346350,faperta.unja.official,1.2834837962962964,173.2887037037037,276,11.191520821497464,74.28571428571429,53.706364859052094,1.603709815244411,0.6277562770343337,0,1,0,0
3437249330766436145,faperta.unja.official,0.0032291666666666666,173.29193287037037,277,11.149024481730875,76.6,52.523192156281915,1.601268961714566,0.6301407407407408,0,1,0,0
3437249330766436145,faperta.unja.official,0.0032291666666666666,173.29193287037037,277,11.149024481730875,76.6,52.523192156281915,1.601268961714566,0.6301407407407408,0,1,0,0
3437249330766436145,faperta.unja.official,0.0032291666666666666,173.29193287037037,277,11.149024481730875,76.6,52.523192156281915,1.601268961714566,0.6301407407407408,0,1,0,0
3437249330766436145,faperta.unja.official,0.0032291666666666666,173.29193287037037,277,11.149024481730875,76.6,52.523192156281915,1.601268961714566,0.6301407407407408,0,1,0,0
3437249330766436145,faperta.unja.official,0.0032291666666666666,173.29193287037037,277,11.149024481730875,76.6,52.523192156281915,1.601268961714566,0.6301407407407408,0,1,0,0
3437249330766436145,faperta.unja.official,0.0032291666666666666,173.29193287037037,277,11.149024481730875,76.6,52.523192156281915,1.601268961714566,0.6301407407407408,0,1,0,0
3437251880517563405,faperta.unja.official,0.0035069444444444445,173.2954398148148,283,11.391182308968963,96.42857142857143,54.43488902218083,1.586641429775694,0.616697270001318,0,1,0,0
3437251880517563405,faperta.unja.official,0.0035069444444444445,173.2954398148148,283,11.391182308968963,96.42857142857143,54.43488902218083,1.586641429775694,0.616697270001318,0,1,0,0
3437251880517563405,faperta.unja.official,0.0035069444444444445,173.2954398148148,283,11.391182308968963,96.42857142857143,54.43488902218083,1.586641429775694,0.616697270001318,0,1,0,0
3437251880517563405,faperta.unja.official,0.0035069444444444445,173.2954398148148,283,11.391182308968963,96.42857142857143,54.43488902218083,1.586641429775694,0.616697270001318,0,1,0,0
3437251880517563405,faperta.unja.official,0.0035069444444444445,173.2954398148148,283,11.391182308968963,96.42857142857143,54.43488902218083,1.586641429775694,0.616697270001318,0,1,0,0
3437251880517563405,faperta.unja.official,0.0035069444444444445,173.2954398148148,283,11.391182308968963,96.42857142857143,54.43488902218083,1.586641429775694,0.616697270001318,0,1,0,0
3437251880517563405,faperta.unja.official,0.0035069444444444445,173.2954398148148,283,11.391182308968963,96.42857142857143,54.43488902218083,1.586641429775694,0.616697270001318,0,1,0,0
3437251880517563405,faperta.unja.official,0.0035069444444444445,173.2954398148148,283,11.391182308968963,96.42857142857143,54.43488902218083,1.586641429775694,0.616697270001318,0,1,0,0
