post_id,account,aesthetic_sharpness,aesthetic_noise,aesthetic_brightness,aesthetic_exposure_quality,aesthetic_color_harmony,aesthetic_saturation,aesthetic_saturation_variance,aesthetic_luminance_contrast
2887856721466384149,fst_unja,266.98274065629266,2448.970512382689,129.52574922839506,66.85461763765639,19.06962837226347,149.91819521604938,73.03146780827021,0.5161492407476541
2887856721466384149,fst_unja,266.98274065629266,2448.970512382689,129.52574922839506,66.85461763765639,19.06962837226347,149.91819521604938,73.03146780827021,0.5161492407476541
2887856721466384149,fst_unja,266.98274065629266,2448.970512382689,129.52574922839506,66.85461763765639,19.06962837226347,149.91819521604938,73.03146780827021,0.5161492407476541
2887856721466384149,fst_unja,266.98274065629266,2448.970512382689,129.52574922839506,66.85461763765639,19.06962837226347,149.91819521604938,73.03146780827021,0.5161492407476541
2887856721466384149,fst_unja,266.98274065629266,2448.970512382689,129.52574922839506,66.85461763765639,19.06962837226347,149.91819521604938,73.03146780827021,0.5161492407476541
2887856721466384149,fst_unja,266.98274065629266,2448.970512382689,129.52574922839506,66.85461763765639,19.06962837226347,149.91819521604938,73.03146780827021,0.5161492407476541
2892035413201910993,fst_unja,244.81418936642604,1366.8595202354572,110.58599807098766,53.791956064100866,18.8206923357488,184.5942901234568,58.488275743913626,0.4864264600943795
2892035413201910993,fst_unja,244.81418936642604,1366.8595202354572,110.58599807098766,53.791956064100866,18.8206923357488,184.5942901234568,58.488275743913626,0.4864264600943795
2899470170126447353,fst_unja,1510.2406284494775,1771.6851004598318,133.4301769868827,68.67168817979422,58.66123359594168,71.64800154320987,77.8099339929626,0.514663843036657
2900938699388589328,fst_unja,744.4940644951644,1977.5540741621642,193.31987997256516,60.148179664851,40.85245952441428,28.5931884430727,48.79033331056525,0.31113292312334334
2900938699388589328,fst_unja,744.4940644951644,1977.5540741621642,193.31987997256516,60.148179664851,40.85245952441428,28.5931884430727,48.79033331056525,0.31113292312334334
2900938699388589328,fst_unja,744.4940644951644,1977.5540741621642,193.31987997256516,60.148179664851,40.85245952441428,28.5931884430727,48.79033331056525,0.31113292312334334
2900938699388589328,fst_unja,744.4940644951644,1977.5540741621642,193.31987997256516,60.148179664851,40.85245952441428,28.5931884430727,48.79033331056525,0.31113292312334334
2900938699388589328,fst_unja,744.4940644951644,1977.5540741621642,193.31987997256516,60.148179664851,40.85245952441428,28.5931884430727,48.79033331056525,0.31113292312334334
2900938699388589328,fst_unja,744.4940644951644,1977.5540741621642,193.31987997256516,60.148179664851,40.85245952441428,28.5931884430727,48.79033331056525,0.31113292312334334
2902394327936222937,fst_unja,457.16481362501906,1258.2082098653893,186.29011316872428,55.04157997103059,49.983356542067995,41.50315672153635,69.59690617222631,0.2954616256296834
2902394327936222937,fst_unja,457.16481362501906,1258.2082098653893,186.29011316872428,55.04157997103059,49.983356542067995,41.50315672153635,69.59690617222631,0.2954616256296834
2902394327936222937,fst_unja,457.16481362501906,1258.2082098653893,186.29011316872428,55.04157997103059,49.983356542067995,41.50315672153635,69.59690617222631,0.2954616256296834
2902394327936222937,fst_unja,457.16481362501906,1258.2082098653893,186.29011316872428,55.04157997103059,49.983356542067995,41.50315672153635,69.59690617222631,0.2954616256296834
