post_id,account,emoji_count,unique_emoji_count,emoji_diversity,emoji_at_start,emoji_at_end,emoji_density,exclamation_count,question_count,all_caps_count,all_caps_ratio,multi_punct_count,cta_keyword_count,positive_word_count,negative_word_count,sentiment_polarity,sentiment_strength
2984913545131111064,fst_unja,1,1,-1.4426951601859516e-10,0,1,1.8518518518518516,0,0,0,0.0,0,0,1,0,1.0,1
2992869138227620204,fst_unja,0,0,0.0,0,0,0.0,2,0,1,0.017241379310344827,1,0,3,1,0.5,4
2998641783732601082,fst_unja,1,1,-1.4426951601859516e-10,0,0,0.2717391304347826,0,0,1,0.02127659574468085,0,0,1,0,1.0,1
2999455834490653230,fst_unja,0,0,0.0,0,0,0.0,0,0,2,0.09523809523809523,0,0,2,0,1.0,2
3013183146360822365,fst_unja,1,1,-1.4426951601859516e-10,0,0,0.5494505494505495,0,0,0,0.0,0,0,0,0,0.0,0
3019121881023549845,fst_unja,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,1,0,1.0,1
3022700784060699746,fst_unja,1,1,-1.4426951601859516e-10,0,0,0.5524861878453038,2,0,2,0.06451612903225806,0,0,1,0,1.0,1
3032786331072541325,fst_unja,1,1,-1.4426951601859516e-10,0,0,0.2358490566037736,2,0,3,0.05,0,0,2,0,1.0,2
3064106277380232351,fst_unja,0,0,0.0,0,0,0.0,0,0,3,0.10714285714285714,0,0,0,0,0.0,0
3064106277380232351,fst_unja,0,0,0.0,0,0,0.0,0,0,3,0.10714285714285714,0,0,0,0,0.0,0
3064546065571951045,fst_unja,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,1,0,1.0,1
3083638747230182778,fst_unja,1,1,-1.4426951601859516e-10,0,0,0.4464285714285714,0,0,0,0.0,0,0,0,0,0.0,0
3106712027050635266,fst_unja,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,1,0,1.0,1
3107283343449508378,fst_unja,1,1,-1.4426951601859516e-10,0,0,0.2915451895043732,0,0,4,0.08695652173913043,0,0,1,0,1.0,1
3115281535281657795,fst_unja,1,1,-1.4426951601859516e-10,0,0,0.34843205574912894,0,0,3,0.07142857142857142,0,0,1,0,1.0,1
3115281535281657795,fst_unja,1,1,-1.4426951601859516e-10,0,0,0.34843205574912894,0,0,3,0.07142857142857142,0,0,1,0,1.0,1
3131369058604893248,fst_unja,0,0,0.0,0,0,0.0,0,0,14,0.06666666666666667,0,0,4,0,1.0,4
3131369058604893248,fst_unja,0,0,0.0,0,0,0.0,0,0,14,0.06666666666666667,0,0,4,0,1.0,4
3131369058604893248,fst_unja,0,0,0.0,0,0,0.0,0,0,14,0.06666666666666667,0,0,4,0,1.0,4
3139879688798344014,fst_unja,1,1,-1.4426951601859516e-10,0,0,0.2070393374741201,1,1,1,0.01694915254237288,0,2,3,0,1.0,3
3139880377553476693,fst_unja,1,1,-1.4426951601859516e-10,0,0,0.2028397565922921,1,1,1,0.01639344262295082,0,2,1,0,1.0,1
3139968875019091138,fst_unja,0,0,0.0,0,0,0.0,1,0,0,0.0,0,1,0,0,0.0,0
3143762734547040964,fst_unja,0,0,0.0,0,0,0.0,1,0,1,0.04,0,2,0,0,0.0,0
3144255271917269963,fst_unja,1,1,-1.4426951601859516e-10,0,0,0.14285714285714285,1,0,20,0.19047619047619047,0,1,6,0,1.0,6
3144255271917269963,fst_unja,1,1,-1.4426951601859516e-10,0,0,0.14285714285714285,1,0,20,0.19047619047619047,0,1,6,0,1.0,6
3148977960317970221,fst_unja,0,0,0.0,0,0,0.0,0,0,7,0.07777777777777778,0,0,0,0,0.0,0
3148977960317970221,fst_unja,0,0,0.0,0,0,0.0,0,0,7,0.07777777777777778,0,0,0,0,0.0,0
3150114014987105157,fst_unja,0,0,0.0,0,0,0.0,0,0,6,0.07228915662650602,0,0,1,0,1.0,1
3150114014987105157,fst_unja,0,0,0.0,0,0,0.0,0,0,6,0.07228915662650602,0,0,1,0,1.0,1
3151525209556341231,fst_unja,0,0,0.0,0,0,0.0,0,0,12,0.12903225806451613,0,0,0,0,0.0,0
3151525209556341231,fst_unja,0,0,0.0,0,0,0.0,0,0,12,0.12903225806451613,0,0,0,0,0.0,0
3152914070093397573,fst_unja,1,1,-1.4426951601859516e-10,0,0,0.19342359767891684,1,0,4,0.056338028169014086,0,0,0,0,0.0,0
3153770219118917460,fst_unja,0,0,0.0,0,0,0.0,0,0,10,0.04950495049504951,0,0,0,0,0.0,0
3153770219118917460,fst_unja,0,0,0.0,0,0,0.0,0,0,10,0.04950495049504951,0,0,0,0,0.0,0
3157273049339270902,fst_unja,0,0,0.0,0,0,0.0,0,0,1,0.05263157894736842,0,0,2,0,1.0,2
3158274225962962467,fst_unja,0,0,0.0,0,0,0.0,0,0,3,0.04838709677419355,0,0,0,0,0.0,0
3161650498017805270,fst_unja,0,0,0.0,0,0,0.0,0,0,6,0.08,0,0,0,0,0.0,0
